Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
35210,165171,60 months,11.69%,3647.904694,BC,Less than 1 year,Rental,877555,Source Verified,17-10-2011,Agriculture,11.45744066,0,5/8/01,,,14,0,95369,0.22106232,38,0,1/8/15,5030.824694,2923,???
37317,132147,51 months,11.85%,3310.829209,BC,Less than 1 year,Under Mortgage,1369269,Source Verified,13-12-2011,Home Renovation,8.272917128,0,23-02-1997,,103,12,1,90059,0.394434937,21,0,1/9/11,123613.0992,2719,???
28344,275012,60 months,11.69%,6074.890117,BD,7 years,Under Mortgage,1866267,Verified,11/7/11,Start Business,12.6716506,0,23-11-1984,,,14,0,96276,0.295703804,31,0,1/8/15,6074.890117,3062,???
37579,154006,36 months,6.11%,4692.854804,AA,4 years,Under Mortgage,1019148,Verified,31-12-2011,Pay Credit Card Bill,11.35628274,0,6/10/81,,,16,0,934568,0.403756912,38,0,1/2/12,142940.4148,3457,???
29278,132108,40 months,11.51%,3992.472861,BB,Less than 1 year,Under Mortgage,2209141,Not Verified,20-12-2009,Pay-off Other Loans,6.505955272,0,23-03-1991,30,,9,0,32526,0.037089276,30,0,1/2/13,4282.982861,3323,???
27895,81449,40 months,14.77%,2590.571478,DA,2 years,Under Mortgage,774396,Not Verified,21-08-2010,Pay-off Other Loans,17.94413847,0,15-09-2003,56,,12,0,67759,0.436300258,24,0,1/10/13,2779.221478,1365,???
30201,43871,46 months,15.62%,1273.570088,DD,3 years,Under Mortgage,601795,Not Verified,13-12-2009,Start Business,10.72391828,0,6/6/88,41,,7,0,4750,0.054282022,36,0,1/8/13,1371.250088,2525,???
39364,110911,42 months,14.82%,3400.690214,ED,5 years,Rental,472749,Not Verified,27-03-2008,Pay-off Other Loans,28.03305714,0,8/4/96,38,44,13,1,165947,0.823384474,18,0,1/7/11,3499.580214,989,???
28028,158365,52 months,19.25%,4513.175268,ED,6 years,Own,1641450,Source Verified,16-10-2011,Relocation,4.804961877,1,13-03-2002,12,,8,0,42720,0.509887839,28,0,1/12/12,115737.4753,2141,???
31664,68937,47 months,13.39%,1892.937387,CD,6 years,Own,328320,Verified,6/7/09,Pay-off Other Loans,23.2500075,0,7/2/02,36,,10,0,124509,0.912017036,34,0,1/5/13,2212.377387,2412,???
26608,109987,43 months,14.02%,3268.678694,CC,7 years,Rental,469316,Not Verified,27-09-2010,Pay-off Other Loans,6.336544525,0,24-05-2006,,,8,0,100195,0.381766471,13,0,1/2/14,3469.868694,1789,???
31926,65997,38 months,8.98%,2001.827897,AE,Less than 1 year,Rental,873061,Not Verified,9/11/09,Pay Credit Card Bill,3.026519713,0,2/1/97,,86,6,1,54170,0.365649113,12,0,1/3/11,40869.3379,2700,???
35441,192312,40 months,13.76%,6021.111831,CB,5 years,Rental,525377,Verified,20-11-2010,Pay Credit Card Bill,22.97394958,0,1/7/00,,,15,0,201886,0.50145034,20,0,1/6/12,36835.74183,2159,???
30704,56869,48 months,12.26%,1504.822309,BD,3 years,Rental,165476,Not Verified,26-10-2009,Pay-off Other Loans,12.66385647,0,10/12/05,,,7,0,77396,0.546676808,16,0,1/3/11,1504.822309,2428,???
29785,98925,39 months,7.60%,2870.650617,AD,Less than 1 year,Under Mortgage,807182,Source Verified,7/10/10,Pay-off Other Loans,10.26819912,0,6/5/94,,,9,0,130702,0.267133107,21,0,1/1/12,68791.67062,1801,???
27206,198033,47 months,13.69%,5467.29018,CE,2 years,Under Mortgage,670229,Source Verified,26-11-2010,Pay-off Other Loans,6.268860951,0,22-01-2005,,,8,0,65113,0.871748738,15,0,1/4/14,38214.18018,66,???
24781,109987,47 months,9.26%,2798.803464,BB,Less than 1 year,Rental,532227,Source Verified,6/11/10,Start Business,5.764972106,0,4/5/04,,,8,0,92813,0.67575051,9,0,1/4/13,58773.73346,3968,???
25324,275080,45 months,14.33%,7937.737471,DB,9 years,Rental,1093135,Verified,4/1/11,Pay-off Other Loans,10.97577625,0,29-09-1999,60,,5,0,150050,0.815276721,24,0,1/12/12,7937.737471,511,???
25134,43935,43 months,7.82%,1174.944737,AB,8 years,Under Mortgage,558036,Not Verified,28-08-2009,Home Renovation,17.84963838,0,19-10-1994,,,7,0,42764,0.076479397,15,0,1/11/10,140.69,3879,???
33578,43829,46 months,9.82%,1147.190871,BB,Less than 1 year,Rental,688659,Not Verified,15-03-2008,Start Business,2.586003788,0,6/11/89,29,0,7,0,44414,0.073859923,19,0,1/2/09,41962.69087,2567,???
32717,93528,36 months,7.73%,2919.141305,AD,1 year,Rental,261157,Source Verified,2/10/11,Pay-off Other Loans,16.47173924,0,15-06-1988,68,,20,0,163541,0.345922034,33,0,1/4/12,79947.19131,849,???
35643,49605,38 months,12.74%,1593.178203,BE,6 years,Own,853687,Not Verified,26-11-2011,Others,17.49266485,0,16-07-1999,34,,7,0,215649,0.545587346,26,0,1/11/14,3379.798203,1347,???
39394,131872,47 months,14.56%,3698.161962,CE,10 years and above,Own,612817,Not Verified,4/11/10,Pay-off Other Loans,14.21015693,0,20-11-1994,39,,13,0,33151,0.270552556,37,0,1/8/12,101447.242,1074,???
25002,54899,41 months,13.63%,1682.378776,CC,Less than 1 year,Rental,528824,Not Verified,4/4/11,Purchase Car,0.033834498,2,4/9/85,13,,4,0,10229,0.057378597,17,0,1/12/11,51621.05878,1965,???
36540,87995,44 months,12.58%,2506.658694,BE,3 years,Under Mortgage,523053,Not Verified,29-10-2009,Home Renovation,4.909861922,0,12/2/98,,,7,0,32457,0.071984944,7,0,1/5/13,2726.328694,1319,???
26951,220199,60 months,13.71%,5090.406488,CD,4 years,Rental,517183,Verified,12/2/11,Others,15.11640691,0,13-11-1997,35,,6,0,29158,0.185810745,24,0,1/9/15,5090.406488,1024,???
25358,77037,45 months,10.77%,2088.322867,BC,5 years,Rental,678886,Not Verified,10/2/10,Pay-off Other Loans,18.10421099,0,30-04-2002,,,17,0,149223,0.313749657,40,0,1/12/12,26076.13287,1905,???
28044,109924,36 months,12.53%,3678.775111,BD,3 years,Rental,566119,Not Verified,20-01-2012,Pay-off Other Loans,9.031949885,0,11/7/03,,,9,0,130995,0.748272517,17,0,1/11/14,3810.445111,2978,???
25342,385171,51 months,21.00%,11479.15691,FA,10 years and above,Under Mortgage,1093051,Verified,1/1/12,Pay-off Other Loans,8.937088529,0,24-01-1997,67,,16,0,129066,0.395696248,53,0,1/2/14,214013.7969,2591,???
35323,27526,47 months,9.81%,707.7071821,BA,6 years,Own,132376,Source Verified,2/7/11,Home Renovation,8.274651118,0,17-06-1994,69,118,7,1,25086,0.517435055,17,0,1/2/14,3305.907182,1590,???
24256,132011,53 months,11.89%,3213.737023,BE,4 years,Rental,304137,Verified,12/8/10,Pay-off Other Loans,11.76996842,0,17-05-1995,39,,4,0,47111,0.266128652,31,0,1/1/14,31405.74702,3923,???
30926,67672,38 months,12.02%,2150.070907,BE,Less than 1 year,Rental,326639,Not Verified,7/3/09,Pay Credit Card Bill,22.30592793,0,27-01-2003,,,10,0,169815,0.537587464,22,0,1/4/12,2319.690907,753,???
39370,220071,40 months,11.83%,6684.826503,BC,6 years,Rental,784927,Verified,8/12/11,Pay-off Other Loans,16.58544014,0,7/4/99,,,13,0,158424,0.853483526,23,0,1/2/15,6953.776503,2421,???
26357,49673,47 months,15.19%,1408.61205,DD,2 years,Under Mortgage,910723,Verified,10/5/09,Agriculture,11.55323091,2,10/9/99,10,92,6,1,0,0,14,0,1/3/10,49815.76205,1742,???
24082,330055,60 months,14.18%,7711.127567,CB,5 years,Under Mortgage,1122068,Source Verified,23-10-2011,Pay-off Other Loans,18.65391508,0,6/8/88,,,17,0,246886,0.432175356,47,0,1/9/15,7711.127567,3264,???
24174,55057,44 months,14.17%,1611.699034,CB,4 years,Under Mortgage,670387,Verified,21-11-2011,Pay-off Other Loans,11.88809869,1,26-05-2002,9,,9,0,16536,0.659366652,15,0,1/4/13,43652.26903,1945,???
35703,83716,48 months,6.22%,1974.592621,AA,10 years and above,Under Mortgage,1108450,Source Verified,12/11/11,Purchase Car,10.94368629,0,4/3/92,,,13,0,83118,0.345945666,36,0,1/10/12,83471.28262,920,???
39866,65263,38 months,11.28%,2050.368018,BE,Less than 1 year,Rental,431259,Source Verified,1/5/11,Pay Credit Card Bill,18.88458949,0,24-06-1989,49,93,7,1,130390,0.950735041,21,0,1/8/11,2050.368018,208,???
27825,79111,60 months,11.17%,1726.761019,BE,4 years,Under Mortgage,663999,Not Verified,11/3/11,Home Renovation,14.58435013,0,23-01-2000,,,5,0,125159,0.888815068,36,0,1/9/15,1726.761019,179,???
29807,175951,39 months,12.67%,5527.78896,CA,7 years,Rental,986701,Verified,12/4/11,Pay-off Other Loans,15.34945048,0,24-05-1980,,,16,0,151620,0.743740556,21,0,1/12/12,102115.599,2251,???
26133,110060,48 months,17.03%,3177.689485,EC,3 years,Rental,513419,Verified,3/3/11,Pay-off Other Loans,21.83384189,0,9/2/05,,,25,0,148408,0.40053191,38,0,1/9/12,70077.92948,3122,???
29126,385091,60 months,15.86%,9335.336488,DD,10 years and above,Under Mortgage,819681,Verified,1/5/11,Pay-off Other Loans,17.1822592,1,8/12/88,18,,11,0,40715,0.211746889,31,0,1/9/15,9335.336488,51,???
40039,132007,36 months,11.83%,4373.706746,BC,3 years,Under Mortgage,697475,Verified,6/12/11,Pay-off Other Loans,22.40044299,0,14-09-1999,,,11,0,257050,0.92472149,30,0,1/11/14,4452.026746,2118,???
34056,32832,46 months,13.13%,912.226392,CA,Not available,Own,643040,Not Verified,15-07-2011,Home Renovation,3.941799132,1,8/6/89,16,,9,0,30007,0.102722825,20,0,1/5/14,912.226392,1771,???
27421,38618,51 months,7.65%,889.3669184,AE,Not available,Under Mortgage,256100,Verified,22-05-2011,Purchase Car,3.020737956,0,26-09-1971,,,8,0,20253,0.318102322,27,0,1/8/11,31723.02692,1605,???
25145,66144,41 months,13.17%,2012.093223,CD,4 years,Rental,381476,Not Verified,30-12-2010,Pay-off Other Loans,0.515762335,0,8/5/05,45,,4,0,962,0.01612151,5,0,1/5/12,2012.093223,1546,???
33561,198001,55 months,13.94%,4891.421287,CD,4 years,Under Mortgage,721516,Verified,12/4/11,Home Renovation,16.76783962,0,5/2/02,35,,7,0,26040,0.134764051,20,0,1/11/10,200614.9713,349,???
33889,385053,60 months,19.25%,10041.13269,EC,10 years and above,Under Mortgage,1215307,Source Verified,1/12/11,Start Business,11.32766833,1,19-12-1996,21,,7,0,119544,0.79998911,23,0,1/8/15,10041.13269,3807,???
35518,77010,48 months,11.29%,2001.148649,CB,1 year,Rental,507221,Not Verified,12/4/08,Pay-off Other Loans,3.857133785,0,3/9/99,,,6,0,86732,0.259303383,8,0,1/3/12,2159.768649,1108,???
25937,167806,60 months,16.12%,4091.535917,EA,2 years,Under Mortgage,508675,Verified,17-02-2011,Home Renovation,19.12290318,2,27-09-1980,11,,20,0,22414,0.035243936,43,0,1/9/15,4091.535917,1183,???
39989,385030,49 months,20.32%,11626.97955,EE,3 years,Under Mortgage,1500805,Verified,18-12-2011,Home Renovation,2.491387702,0,29-08-1998,52,,7,0,96608,0.579918631,26,0,1/12/10,392922.9495,172,???
25226,231099,45 months,14.19%,6652.46398,DA,10 years and above,Rental,773966.2,Verified,12/2/11,Pay-off Other Loans,20.24384543,0,24-01-2000,,,14,0,254964,0.745622663,32,0,1/9/14,7182.77398,1714,???
27743,109839,60 months,12.58%,2475.771973,CA,Not available,Under Mortgage,231675,Verified,2/5/11,Pay-off Other Loans,5.483642388,0,24-12-1998,,,7,0,41371,0.291071667,11,0,1/9/15,2475.771973,988,???
30114,154055,52 months,10.98%,3736.356681,BC,5 years,Under Mortgage,627948,Source Verified,15-06-2011,Pay-off Other Loans,5.634237331,0,3/1/01,,,7,0,130958,0.616652189,19,0,1/11/11,129040.3267,2628,???
37639,79155,36 months,7.79%,2472.796395,AE,9 years,Rental,697710,Verified,16-06-2010,Pay-off Other Loans,14.48666317,0,15-12-2001,,,10,0,67806,0.638313573,23,0,1/6/12,26484.47639,1118,???
35632,264182,60 months,12.69%,5969.320191,BE,5 years,Under Mortgage,1034724,Verified,5/12/11,Start Business,17.571568,0,14-08-1999,,,18,0,127423,0.308893666,26,0,1/9/15,5969.320191,609,???
29949,385176,53 months,11.56%,9313.415994,BC,10 years and above,Under Mortgage,998435,Verified,13-10-2011,Pay-off Other Loans,14.26126425,0,27-06-1997,,,16,0,305126,0.417915192,41,0,1/4/12,3851.255994,1916,???
31244,142066,54 months,11.67%,3394.538228,BD,10 years and above,Under Mortgage,833898,Source Verified,22-07-2011,Pay-off Other Loans,10.93727621,0,21-01-1983,,,18,0,225648,0.279658356,46,0,1/7/11,3394.538228,456,???
29017,76955,36 months,14.00%,2630.177447,CC,6 years,Under Mortgage,572688,Verified,28-10-2010,Pay-off Other Loans,16.29001412,0,1/7/99,72,,14,0,95379,0.612207548,25,0,1/8/13,2787.917447,2965,???
33446,220157,36 months,19.78%,8157.104268,EE,10 years and above,Under Mortgage,1756068,Verified,31-08-2011,Pay-off Other Loans,19.95771005,0,25-07-1992,,,14,0,99772,0.320215963,29,0,1/2/13,122048.7943,1070,???
24778,74803,43 months,13.00%,2185.338028,CB,Less than 1 year,Under Mortgage,861703,Verified,25-02-2011,Purchase Car,9.936110222,1,22-03-2002,18,,11,0,142365,0.669882732,41,0,1/4/13,11061.89803,3431,???
25927,52643,40 months,7.63%,1494.744507,AD,8 years,Rental,272785,Not Verified,6/7/11,Others,22.49228192,0,27-08-2001,72,,10,0,43144,0.257823501,20,0,1/10/14,1745.544507,793,???
35841,43909,44 months,10.08%,1197.802363,BA,3 years,Rental,573488,Not Verified,14-03-2010,Pay Credit Card Bill,2.060500526,0,13-01-2004,42,,14,0,34259,0.36571058,20,0,1/4/12,24893.34236,2738,???
26992,330054,46 months,11.42%,8893.693117,BD,3 years,Under Mortgage,1324442,Source Verified,5/10/11,Buy House,4.821933642,1,25-05-1997,15,,6,0,546915,0,38,0,1/4/15,30539.60312,1040,???
34853,142920,52 months,14.82%,3741.493558,DC,4 years,Rental,485100,Verified,15-12-2010,Pay-off Other Loans,16.66274527,0,5/9/06,,,5,0,39734,0.78644614,6,0,1/2/11,3741.493558,1233,???
24596,154128,38 months,12.14%,4905.842038,BE,7 years,Under Mortgage,1985878,Verified,2/7/11,Pay-off Other Loans,10.92527099,0,3/11/95,,,12,0,1568511,0.933750738,24,0,1/7/14,4928.722038,56,???
38937,131860,49 months,14.34%,3570.613526,CB,10 years and above,Under Mortgage,754285,Verified,19-01-2012,Pay-off Other Loans,9.249107163,1,19-03-1989,18,,5,0,56609,0.691801971,12,152.6941346,1/10/11,3570.613526,3053,???
32755,82467,60 months,9.48%,1731.33272,BC,10 years and above,Own,425818,Verified,21-01-2011,Home Renovation,4.672461547,1,9/3/97,16,,11,0,11034,0.042724691,20,0,1/5/15,11472.38272,2096,???
30523,384825,39 months,14.99%,12525.88577,DB,10 years and above,Under Mortgage,2634075,Source Verified,6/4/11,Start Business,9.30917127,0,6/4/88,,,13,0,455193,0.698858036,29,0,1/2/14,64710.65577,3613,???
27333,76972,36 months,11.18%,2526.409355,BC,10 years and above,Rental,397450,Not Verified,5/6/11,Home Renovation,23.51454784,0,31-08-1991,37,,9,0,226732,0.606042686,11,0,1/9/12,2526.409355,493,???
38422,54865,39 months,8.01%,1602.472142,AE,1 year,Rental,444027,Verified,21-08-2010,Agriculture,3.609449811,0,22-09-2005,,,5,0,24375,0.185295559,11,153.7257208,1/6/11,1602.472142,3259,???
27197,87803,42 months,9.93%,2483.468238,BB,5 years,Under Mortgage,265656,Not Verified,3/4/08,Pay-off Other Loans,16.50814252,0,12/4/98,,,6,0,67396,0.553425443,19,0,1/8/10,37345.98824,1725,???
28547,98871,38 months,14.48%,3259.299954,DA,3 years,Rental,977638,Verified,14-04-2011,Pay-off Other Loans,8.668050468,0,20-06-2002,58,,4,0,77255,0.518129943,17,0,1/9/13,26054.48995,3382,???
27335,66123,38 months,9.34%,2016.827645,BB,7 years,Rental,601877,Not Verified,13-12-2010,Agriculture,8.652708225,0,10/3/07,,,4,0,46103,0.142086964,4,0,1/9/13,10550.29765,3124,???
34863,192654,45 months,14.28%,5553.816916,DA,6 years,Under Mortgage,621164,Verified,26-01-2011,Pay-off Other Loans,19.8989006,0,10/2/99,,,17,0,287250,0.664762184,29,0,1/3/14,37771.05692,882,???
30672,109807,44 months,7.45%,2859.530931,AD,2 years,Rental,360260,Not Verified,12/6/10,Pay-off Other Loans,8.773433616,0,26-08-2003,,,9,0,73215,0.174757162,16,0,1/1/14,3178.750931,2005,???
35610,110177,45 months,16.89%,3321.675498,DD,Not available,Under Mortgage,658008,Source Verified,11/7/11,Home Renovation,6.487841944,0,2/11/04,31,91,5,1,18175,0.554797033,15,0,1/9/14,26090.4655,187,???
33605,30316,46 months,14.70%,866.0659027,DA,9 years,Rental,188039,Not Verified,22-10-2010,Pay Credit Card Bill,4.13272654,0,16-12-2006,,,5,0,23279,0.584100686,5,168.6183768,1/12/11,27849.8359,1403,???
25879,143183,39 months,6.11%,4057.121647,AB,6 years,Rental,457673,Verified,4/10/11,Pay-off Other Loans,6.188383981,0,6/7/80,,,12,0,85517,0.266967647,25,0,1/11/13,4057.121647,1296,???
26332,21896,38 months,13.32%,709.4341732,CD,10 years and above,Rental,209371,Not Verified,11/5/09,Others,16.37295172,0,11/9/03,,,3,0,67344,0.72962137,8,0,1/5/12,869.4841732,2074,???
38954,44046,39 months,5.56%,1237.084333,AA,10 years and above,Under Mortgage,606056,Not Verified,10/8/11,Agriculture,0.696258027,0,18-07-1992,78,,11,0,7810,0.008261272,39,0,1/7/12,14175.72433,2104,???
36716,118198,45 months,5.68%,2922.696662,AB,7 years,Under Mortgage,453086,Verified,28-03-2011,Pay-off Other Loans,8.784570017,0,19-09-1991,,,9,0,103544,0.082052381,25,0,1/9/12,2922.696662,605,???
30010,131969,40 months,11.86%,4010.441873,BC,10 years and above,Own,1349876,Not Verified,5/1/10,Pay-off Other Loans,10.69256571,0,31-01-1986,,,18,0,426770,0.384590973,26,0,1/1/13,17294.04187,1157,???
26312,48343,44 months,15.45%,1446.017155,DA,Not available,Rental,664886,Verified,29-07-2011,Pay-off Other Loans,0.473788357,0,12/9/64,52,,5,0,1371,0.245489356,21,0,1/1/15,1580.327155,3867,???
26330,61404,37 months,10.46%,1948.836081,BB,6 years,Under Mortgage,390338,Not Verified,28-01-2012,Pay Credit Card Bill,14.15213372,0,13-04-2006,,,20,0,113448,0.288106035,29,0,1/12/14,1997.786081,352,???
25775,264200,48 months,12.66%,7043.251084,BE,1 year,Rental,1103914,Verified,7/1/12,Pay Credit Card Bill,23.4518637,0,17-02-1998,,,7,0,364326,0.906923478,19,0,1/11/15,7249.721084,793,???
38532,66033,45 months,10.55%,1783.268357,CB,2 years,Rental,201395,Not Verified,13-11-2007,Education,8.105653604,0,18-09-1999,0,0,8,0,94327,0.863404517,5,0,1/6/11,1822.098357,188,???
38272,148333,44 months,7.34%,3855.508849,AD,1 year,Rental,706283,Source Verified,12/10/11,Marriage,20.7342329,0,2/12/04,,,6,0,2578,0.040596065,8,0,1/3/13,4139.418849,1670,???
36023,71576,38 months,11.02%,2239.968481,BC,4 years,Rental,487952,Not Verified,27-07-2011,Medical,12.93866783,0,14-05-2005,47,,8,0,18663,0.407361948,13,0,1/7/14,2455.458481,1403,???
36454,32834,41 months,10.31%,953.4832991,BE,10 years and above,Own,574033,Not Verified,1/2/08,Start Business,3.96391757,0,6/12/99,0,0,4,0,92634,1.040344992,7,0,1/6/11,1010.133299,172,???
35561,165044,41 months,15.71%,5227.581515,DE,10 years and above,Rental,540695,Verified,26-01-2011,Pay-off Other Loans,12.6970299,0,12/6/88,28,,11,0,120232,0.505673241,24,0,1/1/13,83584.65152,3180,???
34783,140977,42 months,9.06%,3929.656103,AE,2 years,Under Mortgage,1241260,Verified,15-01-2010,Education,15.60865828,0,19-03-2002,,,13,0,0,0,38,0,1/1/11,120290.1861,2607,???
33643,32832,46 months,17.31%,981.5346845,EC,Less than 1 year,Rental,213816,Not Verified,15-02-2010,Pay-off Other Loans,5.449157436,1,1/4/07,4,,4,0,16041,0.333112356,6,0,1/5/12,19613.66468,713,???
36836,275155,47 months,12.98%,7499.096179,CB,3 years,Rental,1377427.71,Verified,29-03-2011,Pay-off Other Loans,2.154767553,0,8/7/04,,,6,0,156081,0.588902947,9,0,1/12/14,8109.596179,162,???
39972,55114,46 months,10.82%,1469.133452,BC,3 years,Rental,349921,Not Verified,30-05-2010,Agriculture,25.29125988,0,22-12-2003,,,8,0,26154,0.577825503,13,0,1/2/14,1579.243452,3950,???
26765,158363,46 months,16.67%,4682.416595,EB,1 year,Under Mortgage,601825,Not Verified,2/2/10,Pay Credit Card Bill,17.08045238,0,27-09-2001,,,15,0,182025,0.21509946,23,0,1/10/13,5032.326595,2686,???
35995,76954,48 months,7.85%,1873.334034,AC,5 years,Under Mortgage,227812,Verified,17-07-2009,Home Renovation,8.272464156,0,29-06-1997,,,12,0,70513,0.260964032,24,0,1/5/13,2069.024034,2276,???
30885,275078,39 months,17.93%,9357.675232,FE,10 years and above,Under Mortgage,877389,Not Verified,3/12/08,Pay-off Other Loans,13.08719502,1,17-11-1993,4,,7,0,388324,0.840495716,33,0,1/9/10,149679.2852,3395,???
33805,51762,36 months,8.07%,1623.818926,AD,10 years and above,Rental,446304,Source Verified,16-10-2011,Install Solar Panel,10.34544686,0,5/8/98,,,2,0,24977,0.370654075,9,0,1/2/14,12735.79893,3095,???
35082,131907,37 months,9.75%,4141.883978,AE,9 years,Under Mortgage,386325,Not Verified,16-08-2009,Pay-off Other Loans,15.97924338,0,18-05-1990,,,11,0,131382,0.287811204,28,0,1/8/12,4414.133978,3106,???
37618,87823,53 months,15.83%,2313.957664,DD,10 years and above,Under Mortgage,372317,Source Verified,6/4/11,Others,7.028493777,0,20-09-2003,,,5,0,70577,0.875818332,8,0,1/6/12,2313.957664,402,???
26106,176119,46 months,10.91%,4702.069238,CC,Less than 1 year,Rental,2199102,Not Verified,11/1/08,Pay Credit Card Bill,10.85955177,0,2/4/88,60,0,10,0,795985,0.746133197,33,0,1/9/11,4735.179238,3696,???
37429,52986,38 months,12.57%,1697.330728,CA,3 years,Rental,449641,Source Verified,16-03-2011,Pay-off Other Loans,3.692435237,1,26-03-2008,8,,13,0,30542,0.30410575,16,0,1/4/14,1944.060728,3664,???
31752,165154,39 months,14.99%,5375.199005,EA,2 years,Rental,1217624,Verified,24-12-2008,Pay-off Other Loans,25.06437807,1,20-12-1993,13,,19,0,396693,0.72121742,38,0,1/1/12,5581.229005,2578,???
37053,43949,40 months,15.02%,1403.354797,DB,1 year,Rental,389192,Not Verified,14-05-2010,Pay-off Other Loans,3.941230022,0,6/3/06,,,6,0,25076,0.87192751,4,0,1/8/13,1548.114797,2485,???
35253,105774,47 months,5.82%,2522.188824,AB,9 years,Under Mortgage,612882,Source Verified,16-06-2011,Others,7.925489671,0,23-07-1997,35,,8,0,10281,0.044358055,16,0,1/4/15,2563.658824,625,???
26261,54967,41 months,10.52%,1601.812416,BB,6 years,Under Mortgage,301859,Not Verified,7/7/11,Pay-off Other Loans,13.67276172,1,2/7/05,10,,18,0,21034,0.160210987,30,0,1/3/13,32866.23242,1646,???
